p11,p13,p21,p23,Clients_ratio,Compet_ratio
0.4554641395323853,0.223688903326665,0.2574798485738329,0.17053929092441691,0.8570442434768809,0.009142051848993745
0.7552545416740282,0.19367286648654763,0.14267528582202993,0.686275191152848,0.9275166469013404,0.0013045580485078528
0.29578821701473834,0.10826563532579259,0.8178773882000031,0.05089404917720854,0.00041652186203073113,0.9823339807311599
0.8730122070803323,0.10708901196051654,0.7399369070674834,0.1049942672969078,0.962670469295787,0.003307657158316321
0.5887313311425778,0.07717883984226415,0.668395954636821,0.07369409168904376,0.004824581662454924,0.9647412290718933
0.3096277202283443,0.09595850808227183,0.8639636670719185,0.09061405613643274,0.0006763998150946776,0.9702359258814052
0.05544674982222331,0.41708134400067987,0.5049245205898372,0.20770912390005541,0.0027838192025470988,0.8842076958324799
0.32223462439051476,0.44253135061961263,0.2690357390048428,0.5234263289645203,0.5836276948643456,0.04612275995386638
0.15042275833142837,0.5055871524804689,0.3957469265363711,0.23447338094859452,0.005865800941289958,0.8321326546032118
0.04673630575281529,0.8313727662634842,0.2229747508982114,0.47735437892573646,0.01736253483864756,0.4265108365755139
0.38429374500601465,0.13476066611371476,0.04701672965544845,0.783058956462342,0.9016597804542066,0.0021573030638605026
0.49651679678513505,0.49068566664754765,0.1370518963854973,0.23264049454922564,0.7197333312428698,0.011617463252123197
0.9138277690359,0.037618987636750596,0.281502301982132,0.01934745546439174,0.9883418834054107,0.00023205672249027433
0.5212751530287625,0.12182942717298297,0.5499678648525846,0.2077912099457541,0.19558034700157442,0.7091187330544019
0.7459281552644655,0.10076087010329711,0.7735516003316285,0.12821764131848698,0.025329599848014795,0.9290486754757366
0.9567530758880813,0.011083311275360908,0.7417791543604116,0.016429699410073644,0.9965913961751132,0.0001902939854297277
0.38743087029265544,0.39996427048820304,0.3669775720940269,0.050875933476468765,0.005017899145144519,0.9561069972192182
0.6654545619746247,0.23375952009923748,0.18332776927541694,0.5137994371441402,0.9005300853435175,0.0022853507334728326
0.3550629562690807,0.10194190321211581,0.777680777689375,0.014108384601350091,0.0001465753072091244,0.9948267435069746
0.957101161914928,0.008781245058070132,0.03280810253124378,0.07011726222114467,0.9974157479420268,3.492490702115066e-05
0.30181869750961965,0.6228566206430511,0.6854491784872664,0.010566425222838577,0.00010766061649981395,0.9956089712866106
0.6502847391593692,0.12512911399913174,0.5651715755829579,0.09053736089884917,0.9383199033803238,0.00874246059403153
0.8708298319401488,0.07938620385471344,0.31759618267326273,0.42569612594517126,0.9741085438691603,0.000545425455755608
0.6548760679978883,0.15418547721521478,0.23037954553436457,0.7175145449403068,0.9331862820492589,0.0015109986535357044
0.040598290157589534,0.13556467179073522,0.8224711092955403,0.008023171082426967,4.3038827297773104e-05,0.997251932365787
0.17674310623240586,0.6571422391012604,0.5268138718998762,0.2332085446979524,0.003253171409108895,0.8746203414868705
0.9771125178701374,0.005791395293673792,0.43456443564622715,0.47691771869291993,0.9983117795223101,3.634067174142183e-05
0.808269000736234,0.05318736440536303,0.4580915501479127,0.015495640662786586,0.9811022660882787,0.0006779990420991737
0.9214836464733519,0.06318312817170917,0.9120783257334494,0.05422145383917778,0.9529821231821383,0.02805904688495093
0.5454478600817506,0.23360617580812235,0.8246908353858612,0.04060538842481562,0.0005693883546763561,0.9857491360639677
0.6678155601179178,0.018150494490813966,0.8221183676922187,0.09003824285862494,0.002719522686919353,0.9670005683681546
0.422389346016355,0.44731090013680685,0.5325864369162359,0.024945262772568304,0.0007425935483143553,0.9862395990969605
0.7567761112206729,0.17590644721454315,0.29551040144406715,0.6231244399593722,0.9339107746241836,0.0015294035635445306
0.7356823761863469,0.23602718713448675,0.028743154257951042,0.039021949278486234,0.9096954511831874,0.0017338463303005645
0.3877515301909612,0.2772446642337168,0.25504168694736906,0.37310716244507974,0.7910719928099369,0.01403712425365416
0.4631377656326523,0.10797390060146642,0.45616771989996296,0.23338861327622965,0.9170920219453773,0.017875515146061435
0.5755489997545296,0.0529606435612978,0.5172640302630607,0.47025089162454997,0.9722947251732306,0.0019990249316174267
0.9530083924544573,0.034913578400369016,0.0022127113075786076,0.062387688642512255,0.989686065714452,0.00013666388125786047
0.5744359720576245,0.04189129301559982,0.5955679123468338,0.15399561548305737,0.9396765852975413,0.038212708043382615
0.8965867380066316,0.045331644844282946,0.25866589060718825,0.38887910096433076,0.9856749391982556,0.00026589863415273215
0.6607294542124498,0.2057075699035411,0.9461679650217327,0.018294372923227793,0.00022697767093085632,0.9943902670220812
0.9264006232500368,0.06980321274000402,0.975160684434048,0.0027651394927357526,0.00018672643847337053,0.9990217793604487
0.017020565962648226,0.6531042097945555,0.5848110804333095,0.08237365536466196,0.0006983021533582947,0.9603619978570809
0.4194697158855689,0.4317105496166501,0.29028032447011587,0.041731545618611025,0.052376302382384256,0.8904995117460397
0.08393739027203961,0.7035929173569093,0.7732751883679779,0.16786757919976686,0.0009926784540120169,0.9387312118061228
0.24196586654827867,0.5620401235299433,0.03269381351581968,0.01874382415494927,0.3271452101156111,0.13806626693336585
0.7828512808847594,0.1300296702679742,0.9028670953528533,0.04811385233122012,0.0014686665531590654,0.9837041983030951
0.658640710510842,0.20588756823840904,0.7223721827238102,0.17998702468281375,0.012768104914533883,0.918238148477925
0.8258706105338062,0.052282041681940825,0.6439987623201845,0.26331590717312214,0.9813209452714563,0.0010602289858869976
0.38313684144024784,0.1887001300354281,0.4919062703590895,0.025089499242066396,0.0011515124730635715,0.9847749686836866
0.612740429431053,0.1057056316878597,0.28090371902579936,0.011803106325403262,0.9506076780552782,0.0019627828920801738
0.2973793258936146,0.36244712087214925,0.16887147233113986,0.03424004650253197,0.5153692070289556,0.21681401752366078
0.30991403937611917,0.6187725827406741,0.3141955453085432,0.12652369251256873,0.0075149300475867995,0.8810117669072628
0.5188611856639956,0.42369054991359545,0.9145480328713969,0.009798130185432834,8.669887594624488e-05,0.9969283093359768
0.9957508354593774,0.0018460493462979235,0.8349714058305878,0.033808409301320196,0.9994440884730807,4.024055287944032e-05
0.5397006495956018,0.030269627520294794,0.7730596180293624,0.07831325486985824,0.001598148971382903,0.9703908752028972
0.6692424259519696,0.07121851575998878,0.2504114752362888,0.14305384025320775,0.9697391652005236,0.0008661608628667719
0.680748345488318,0.16576251985977128,0.09602735027628762,0.3612123954957471,0.931288148491141,0.0013819065825898514
0.8568218100395578,0.004371471511434943,0.8784144531116135,0.023902555010242278,0.00496499733982757,0.9875170238460819
0.5983921045508036,0.07594311525955451,0.5753506404370776,0.089782532078552,0.9483225159054932,0.01663613599282307
0.2694423447092149,0.5640412783885471,0.13521900655700303,0.36225090627450757,0.3970620157217174,0.06724745524082151
0.3964196298970568,0.10931438336523963,0.21891309635646805,0.6503207375342042,0.9213828655330953,0.0026704326790456183
0.8642640201364467,0.07645792406630071,0.39037459949369946,0.07514941512201581,0.9747990685433049,0.0006669128418092359
0.16879665795829935,0.3986353028022441,0.019299381592989606,0.622702743093723,0.3859368045216402,0.02301386766612575
0.11039939505253105,0.6321175142721416,0.23177066403757762,0.7519508831962489,0.054375344672139954,0.17892089444568163
0.9047884356597375,0.01710229868561141,0.16325966960227312,0.4936475375812272,0.9946568284889161,8.45433253683092e-05
0.5877517513227606,0.2933579334757068,0.8541919505829666,0.0873025473531545,0.0012407113178492374,0.9703363809691093
0.8727547936900053,0.11810574231928249,0.4268081035529582,0.1953979024654138,0.9613715602920062,0.0010666906246926684
0.7918523270249906,0.09982373512868457,0.007197879856299716,0.12243665973900769,0.9645172386213944,0.0005711518014330011
0.8179164626366862,0.11005224824628472,0.19961257670609878,0.1529105869887584,0.9619384606801187,0.0007711551745188037
