u,u_e,mu,p_e,delta,y
0.4,0.1,0.4,0.3,0.5,0.1600510204081633
0.4,0.1,0.5,0.05,0.0,0.09063711911357342
0.4,0.1,0.5,0.05,0.2,0.13562326869806093
0.4,0.1,0.5,0.05,0.4,0.0638781163434903
0.4,0.1,0.5,0.1,0.0,0.4020061728395061
0.4,0.1,0.5,0.1,0.2,0.1655864197530864
0.4,0.1,0.5,0.1,0.4,0.10978395061728394
0.4,0.1,0.5,0.1,0.5,0.31533950617283946
0.4,0.1,0.5,0.2,0.0,0.0525390625
0.4,0.1,0.5,0.2,0.2,0.1000390625
0.4,0.1,0.5,0.2,0.4,0.045156249999999995
0.4,0.1,0.5,0.2,0.5,0.16738281250000003
0.4,0.1,0.5,0.3,0.0,0.13591836734693877
0.4,0.1,0.5,0.3,0.2,0.0
0.4,0.1,0.5,0.3,0.4,0.05556122448979592
0.4,0.1,0.5,0.3,0.5,0.07760204081632653
0.4,0.15,0.1,0.05,0.2,0.011108033240997229
0.4,0.15,0.1,0.05,0.4,0.11490304709141276
0.4,0.15,0.1,0.05,0.5,0.037922437673130194
0.4,0.15,0.1,0.1,0.0,0.08055555555555555
0.4,0.15,0.1,0.1,0.2,0.11388888888888887
0.4,0.15,0.1,0.1,0.4,0.10098765432098764
0.4,0.15,0.1,0.1,0.5,0.10030864197530864
0.4,0.15,0.1,0.2,0.2,0.192578125
0.4,0.15,0.1,0.2,0.4,0.074140625
0.4,0.15,0.1,0.2,0.5,0.038476562500000006
0.4,0.15,0.1,0.3,0.0,0.1514795918367347
0.4,0.15,0.1,0.3,0.2,0.10331632653061226
0.4,0.15,0.1,0.3,0.4,0.12882653061224492
0.4,0.15,0.1,0.3,0.5,0.0625
0.4,0.15,0.2,0.05,0.0,0.10307479224376731
0.4,0.15,0.2,0.05,0.2,0.1565096952908587
0.4,0.15,0.2,0.05,0.4,0.010000000000000002
0.4,0.15,0.2,0.05,0.5,0.1550415512465374
0.4,0.15,0.2,0.1,0.0,0.18024691358024691
0.4,0.15,0.2,0.1,0.2,0.3523765432098765
0.4,0.15,0.2,0.1,0.4,0.1667283950617284
0.4,0.15,0.2,0.1,0.5,0.17719135802469138
0.4,0.15,0.2,0.2,0.0,0.15628906250000002
0.4,0.15,0.2,0.2,0.2,0.077890625
0.4,0.15,0.2,0.2,0.4,0.16203125
0.4,0.15,0.2,0.2,0.5,0.042539062499999995
0.4,0.15,0.2,0.3,0.2,0.15969387755102038
0.4,0.15,0.2,0.3,0.4,0.008622448979591838
0.4,0.15,0.4,0.05,0.0,0.07889196675900279
0.4,0.15,0.4,0.05,0.2,0.20033240997229915
0.4,0.15,0.4,0.05,0.4,0.1303601108033241
0.4,0.15,0.4,0.05,0.5,0.19193905817174517
0.4,0.15,0.4,0.1,0.0,0.09388888888888888
0.4,0.15,0.4,0.1,0.2,0.035339506172839506
0.4,0.15,0.4,0.1,0.4,0.09530864197530864
0.4,0.15,0.4,0.1,0.5,0.13348765432098766
0.4,0.15,0.4,0.2,0.0,0.1384765625
0.4,0.15,0.4,0.2,0.2,0.1220703125
0.4,0.15,0.4,0.2,0.4,0.161015625
0.4,0.15,0.4,0.2,0.5,0.01265625
0.4,0.15,0.4,0.3,0.0,0.0625
0.4,0.15,0.4,0.3,0.2,0.01479591836734694
0.4,0.15,0.4,0.3,0.4,0.06612244897959182
0.4,0.15,0.4,0.3,0.5,0.08163265306122448
0.4,0.15,0.5,0.05,0.0,0.06304709141274238
0.4,0.15,0.5,0.05,0.2,0.13886426592797785
0.4,0.15,0.5,0.05,0.4,0.10551246537396122
0.4,0.15,0.5,0.05,0.5,0.23936288088642657
0.4,0.15,0.5,0.1,0.0,0.10987654320987653
0.4,0.15,0.5,0.1,0.2,0.07373456790123457
